XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.99160000,40.74915600,144112,377,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,402,Broadway & E 22 St,40.740343,-73.989551,14839,Subscriber,1983,1
-73.98692300,40.73423200,144133,536,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,540,Lexington Ave & E 26 St,40.741473,-73.983209,19715,Subscriber,1964,2
-74.01658354,40.71533790,144140,442,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,415,Pearl St & Hanover Square,40.704718,-74.009260,18718,Subscriber,1973,1
-73.99147535,40.72229346,144154,160,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,531,Forsyth St & Broome St,40.718939,-73.992663,18474,Subscriber,1953,1
-73.97668709,40.72228087,144161,894,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,386,Centre St & Worth St,40.714948,-74.002345,16896,Subscriber,1981,1
-73.98142006,40.72740794,144168,651,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,2004,6 Ave & Broome St,40.724399,-74.004704,17292,Subscriber,1990,1
-74.00176802,40.75066386,144177,355,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,404,9 Ave & W 14 St,40.740583,-74.005509,21343,Subscriber,1989,1
-73.98142006,40.72740794,144206,968,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,316,Fulton St & William St,40.709560,-74.006536,16087,Subscriber,1990,1
-73.97668709,40.72228087,144209,797,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,128,MacDougal St & Prince St,40.727103,-74.002971,19472,Subscriber,1990,1
-74.01575600,40.71151200,144213,539,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,79,Franklin St & W Broadway,40.719116,-74.006667,17356,Subscriber,1990,1
-74.01575600,40.71151200,144219,446,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,426,West St & Chambers St,40.717548,-74.013221,16227,Subscriber,1961,2
-73.97793172,40.72082834,144237,654,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,297,E 15 St & 3 Ave,40.734232,-73.986923,17009,Subscriber,1987,1
-73.98142006,40.72740794,144238,638,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,151,Cleveland Pl & Spring St,40.721816,-73.997203,21306,Subscriber,1985,1
-73.99192540,40.72110063,144242,486,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,285,Broadway & E 14 St,40.734546,-73.990741,21030,Subscriber,1974,1
-73.99637500,40.71729000,144258,919,NULL,NULL,263,Elizabeth St & Hester St,40.717290,-73.996375,328,Watts St & Greenwich St,40.724055,-74.009660,14820,Subscriber,1959,2
-73.99193043,40.71173107,144259,903,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,322,Clinton St & Tillary St,40.696192,-73.991218,20862,Subscriber,1992,1
-73.99695094,40.72679454,144293,255,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,128,MacDougal St & Prince St,40.727103,-74.002971,20353,Subscriber,1963,1
-73.97628939,40.71782143,144304,867,NULL,NULL,341,Stanton St & Mangin St,40.717821,-73.976289,461,E 20 St & 2 Ave,40.735877,-73.982050,15195,Subscriber,1974,1
-73.99193043,40.71173107,144312,504,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,268,Howard St & Centre St,40.719105,-73.999733,18241,Subscriber,1982,1
-73.99160000,40.74915600,144316,459,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,484,W 44 St & 5 Ave,40.755003,-73.980144,19181,Subscriber,1968,1
-74.00277668,40.76087502,144322,237,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,508,W 46 St & 11 Ave,40.763414,-73.996674,17038,Subscriber,1969,1
-74.01713445,40.70834698,144370,285,NULL,NULL,363,West Thames St,40.708347,-74.017134,304,Broadway & Battery Pl,40.704633,-74.013617,15807,Subscriber,1981,1
-73.98142006,40.72740794,144375,959,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,351,Front St & Maiden Ln,40.705310,-74.006126,15021,Subscriber,1986,1
